source,elapsed_min,total_free_mb,largest_free_mb,script_heap_mb
Long run stress.txt,26.16078333333335,872,814,209
Long run stress.txt,26.245100000000033,859,814,209
Long run stress.txt,26.329366666666708,876,814,209
Long run stress.txt,26.413633333333383,879,814,209
Long run stress.txt,26.497916666666665,880,814,209
Long run stress.txt,26.58220000000001,866,814,209
Long run stress.txt,26.666450000000015,883,814,209
Long run stress.txt,26.750750000000032,872,814,209
Long run stress.txt,26.835000000000036,878,814,209
Long run stress.txt,26.919283333333382,862,814,209
Long run stress.txt,27.003600000000006,869,814,209
Long run stress.txt,27.08788333333335,863,798,209
Long run stress.txt,27.172433333333355,875,798,209
Long run stress.txt,27.25676666666671,876,798,209
Long run stress.txt,27.4253,879,798,209
Long run stress.txt,27.509550000000004,881,798,209
Long run stress.txt,27.76241666666671,876,798,209
Long run stress.txt,27.846700000000055,874,798,209
Long run stress.txt,27.932116666666722,852,798,209
Long run stress.txt,28.016400000000008,870,798,209
Long run stress.txt,28.10066666666668,868,798,209
Long run stress.txt,28.184916666666687,859,798,209
Long run stress.txt,28.26920000000003,868,798,209
Long run stress.txt,28.353483333333376,864,798,209
Long run stress.txt,28.43775000000005,873,798,209
Long run stress.txt,28.522016666666726,870,798,209
Long run stress.txt,28.690516666666674,885,798,209
Long run stress.txt,29.11181666666671,889,798,209
Long run stress.txt,29.196100000000055,884,798,209
Long run stress.txt,29.44890000000002,885,798,209
Long run stress.txt,29.533183333333362,885,798,209
Long run stress.txt,29.61748333333338,884,798,209
Long run stress.txt,29.701733333333383,889,798,209
Long run stress.txt,29.87030000000001,878,798,209
Long run stress.txt,30.29208333333336,873,798,209
Long run stress.txt,30.376350000000034,880,798,209
Long run stress.txt,30.63033333333339,875,798,209
Long run stress.txt,30.967333333333347,864,798,209
Long run stress.txt,31.05158333333335,875,798,209
Long run stress.txt,31.220050000000022,883,763,209
Long run stress.txt,31.304333333333368,909,798,209
Long run stress.txt,31.388533333333363,890,798,209
Long run stress.txt,31.472766666666697,828,734,209
Long run stress.txt,31.557033333333372,827,734,209
Long run stress.txt,31.641233333333368,825,734,209
Long run stress.txt,31.72551666666671,824,734,209
Long run stress.txt,31.89396666666671,822,734,209
Long run stress.txt,32.06245000000005,822,734,209
Long run stress.txt,32.14666666666672,808,723,209
Long run stress.txt,32.23091666666672,784,682,209
Long run stress.txt,32.31521666666667,776,682,209
Long run stress.txt,32.399466666666676,747,691,209
Long run stress.txt,32.48375000000002,782,726,209
Long run stress.txt,32.73651666666671,785,726,209
Long run stress.txt,32.90506666666667,785,726,209
Long run stress.txt,32.990500000000004,770,726,209
Long run stress.txt,33.07473333333334,785,726,209
Long run stress.txt,33.41181666666671,780,726,209
Long run stress.txt,33.496066666666714,784,726,209
Long run stress.txt,33.58031666666672,780,726,209
Long run stress.txt,33.66458333333333,782,726,209
Long run stress.txt,33.74881666666667,782,726,209
Long run stress.txt,33.91736666666669,784,726,209
Long run stress.txt,34.001633333333366,774,726,209
Long run stress.txt,34.17016666666671,780,726,209
Long run stress.txt,34.254450000000055,777,726,209
Long run stress.txt,34.33875000000001,784,726,209
Long run stress.txt,34.42298333333335,786,726,209
Long run stress.txt,34.591533333333366,786,726,209
Long run stress.txt,34.67581666666671,780,726,209
Long run stress.txt,34.760083333333384,785,726,209
Long run stress.txt,34.92861666666668,779,726,209
Long run stress.txt,35.01290000000002,780,726,209
Long run stress.txt,35.097200000000036,785,726,209
Long run stress.txt,35.18148333333338,784,726,209
Long run stress.txt,35.265750000000054,781,726,209
Long run stress.txt,35.3504666666667,783,726,209
Long run stress.txt,35.43471666666671,778,726,209
Long run stress.txt,35.520183333333385,780,726,209
Long run stress.txt,35.60446666666667,784,726,209
Long run stress.txt,35.68873333333334,769,721,209
Long run stress.txt,35.772966666666676,785,726,209
Long run stress.txt,35.85728333333336,778,726,209
Long run stress.txt,35.94156666666671,771,726,209
Long run stress.txt,36.02583333333338,774,726,209
Long run stress.txt,36.110083333333385,779,726,209
Long run stress.txt,36.19435,784,726,209
Long run stress.txt,36.27856666666673,784,726,209
Long run stress.txt,36.36283333333334,785,726,209
Long run stress.txt,36.44706666666668,786,726,209
Long run stress.txt,36.53133333333335,777,726,209
Long run stress.txt,36.615616666666696,782,726,209
Long run stress.txt,36.69988333333337,781,726,209
Long run stress.txt,36.86841666666672,776,726,209
Long run stress.txt,37.121250000000025,782,726,209
Long run stress.txt,37.205516666666696,776,726,209
Long run stress.txt,37.37406666666672,773,726,209
Long run stress.txt,37.45835,782,726,209
Long run stress.txt,37.54263333333335,779,726,209
Long run stress.txt,37.626916666666695,788,726,209
Long run stress.txt,37.71128333333339,744,705,209
Long run stress.txt,37.795600000000015,715,677,209
Long run stress.txt,37.87996666666671,716,683,209
Long run stress.txt,37.9643,714,675,209
Long run stress.txt,38.04976666666668,708,669,209
Long run stress.txt,38.13415000000005,702,661,209
Long run stress.txt,38.21846666666667,715,669,209
Long run stress.txt,38.302800000000026,706,664,209
Long run stress.txt,38.47143333333334,712,661,209
Long run stress.txt,38.555716666666676,710,664,209
Long run stress.txt,38.72435000000005,715,664,209
Long run stress.txt,38.80868333333334,715,664,209
Long run stress.txt,38.89303333333337,718,664,209
Long run stress.txt,38.97735000000005,710,664,209
Long run stress.txt,39.06168333333335,716,664,209
Long run stress.txt,39.1460166666667,717,664,209
Long run stress.txt,39.31458333333333,716,664,209
Long run stress.txt,39.398916666666686,724,664,209
Long run stress.txt,39.48325000000004,718,664,209
Long run stress.txt,39.56751666666672,730,664,209
Long run stress.txt,39.651866666666685,729,664,209
Long run stress.txt,39.736183333333365,723,664,209
Long run stress.txt,39.820483333333385,724,664,209
Long run stress.txt,39.904816666666676,721,664,209
Long run stress.txt,40.15778333333334,717,664,209
Long run stress.txt,40.24210000000003,709,664,209
Long run stress.txt,40.32645000000005,724,664,209
Long run stress.txt,40.411200000000036,725,664,209
Long run stress.txt,40.49548333333338,735,672,209
Long run stress.txt,40.58093333333339,731,684,209
Long run stress.txt,40.66526666666668,727,684,209
Long run stress.txt,40.74958333333337,723,680,209
Long run stress.txt,40.833916666666724,725,675,209
Long run stress.txt,40.918200000000006,743,686,209
Long run stress.txt,41.00251666666669,725,680,209
Long run stress.txt,41.08681666666671,736,686,209
Long run stress.txt,41.17113333333334,730,680,209
Long run stress.txt,41.25545000000002,746,686,209
